filename,width,height,class,xmin,ymin,xmax,ymax
0.jpg,1920,1920,non-bike,1269,1195,1542,1501
0.jpg,1920,1920,non-bike,895,1011,1070,1289
0.jpg,1920,1920,non-bike,860,799,982,970
0.jpg,1920,1920,non-bike,1,1317,141,1498
0.jpg,1920,1920,non-bike,476,694,581,798
0.jpg,1920,1920,non-bike,617,530,672,595
0.jpg,1920,1920,non-bike,428,539,495,619
0.jpg,1920,1920,non-bike,647,420,678,439
0.jpg,1920,1920,non-bike,605,460,641,494
0.jpg,1920,1920,non-bike,599,437,630,463
0.jpg,1920,1920,non-bike,600,420,629,441
0.jpg,1920,1920,non-bike,547,420,579,446
flipped0.jpg,1920,1920,non-bike,378,1195,651,1501
flipped0.jpg,1920,1920,non-bike,850,1011,1025,1289
flipped0.jpg,1920,1920,non-bike,938,799,1060,970
flipped0.jpg,1920,1920,non-bike,1779,1317,1919,1498
flipped0.jpg,1920,1920,non-bike,1339,694,1444,798
flipped0.jpg,1920,1920,non-bike,1248,530,1303,595
flipped0.jpg,1920,1920,non-bike,1425,539,1492,619
flipped0.jpg,1920,1920,non-bike,1242,420,1273,439
flipped0.jpg,1920,1920,non-bike,1279,460,1315,494
flipped0.jpg,1920,1920,non-bike,1290,437,1321,463
flipped0.jpg,1920,1920,non-bike,1291,420,1320,441
flipped0.jpg,1920,1920,non-bike,1341,420,1373,446
1.jpg,1920,1920,non-bike,335,1064,560,1329
1.jpg,1920,1920,non-bike,853,1127,1042,1495
1.jpg,1920,1920,non-bike,612,641,684,722
1.jpg,1920,1920,non-bike,429,552,498,624
1.jpg,1920,1920,non-bike,607,569,670,636
1.jpg,1920,1920,non-bike,712,495,764,552
1.jpg,1920,1920,non-bike,535,476,587,530
1.jpg,1920,1920,non-bike,617,504,666,557
1.jpg,1920,1920,non-bike,607,460,645,497
1.jpg,1920,1920,non-bike,674,466,714,500
1.jpg,1920,1920,non-bike,547,445,580,473
1.jpg,1920,1920,non-bike,599,432,625,452
flipped1.jpg,1920,1920,non-bike,1360,1064,1585,1329
